,Year,Indicator,Percent Pending Investigation,State Name,data
25544,2015,Number of Drug Overdose Deaths,0.0,Maine,267
25687,2016,Number of Drug Overdose Deaths,0.0,Maine,357
25836,2017,Number of Drug Overdose Deaths,0.0,Maine,409
25974,2018,Number of Drug Overdose Deaths,0.0,Maine,338
26123,2019,Number of Drug Overdose Deaths,0.0,Maine,362
26262,2020,Number of Drug Overdose Deaths,0.006402049,Maine,490
26405,2021,Number of Drug Overdose Deaths,0.0,Maine,620
26547,2022,Number of Drug Overdose Deaths,0.0,Maine,706
26804,2015,Number of Drug Overdose Deaths,0.033006814,Michigan,1973
26947,2016,Number of Drug Overdose Deaths,0.087515816,Michigan,2342
27096,2017,Number of Drug Overdose Deaths,0.056094571,Michigan,2665
27234,2018,Number of Drug Overdose Deaths,0.104567123,Michigan,2575
27383,2019,Number of Drug Overdose Deaths,0.126846434,Michigan,2358
27522,2020,Number of Drug Overdose Deaths,0.129884749,Michigan,2750
27665,2021,Number of Drug Overdose Deaths,0.104266301,Michigan,3092
27807,2022,Number of Drug Overdose Deaths,0.19633748,Michigan,2969
28064,2015,Number of Drug Overdose Deaths,0.0,Minnesota,592
28207,2016,Number of Drug Overdose Deaths,0.0,Minnesota,664
28356,2017,Number of Drug Overdose Deaths,0.0,Minnesota,728
28494,2018,Number of Drug Overdose Deaths,0.0,Minnesota,639
28643,2019,Number of Drug Overdose Deaths,0.0,Minnesota,788
28782,2020,Number of Drug Overdose Deaths,0.0,Minnesota,1065
28925,2021,Number of Drug Overdose Deaths,0.0,Minnesota,1344
29067,2022,Number of Drug Overdose Deaths,0.0,Minnesota,1392
29324,2015,Number of Drug Overdose Deaths,0.0290346,Missouri,1087
29467,2016,Number of Drug Overdose Deaths,0.017774043,Missouri,1386
29616,2017,Number of Drug Overdose Deaths,0.02803651,Missouri,1398
29754,2018,Number of Drug Overdose Deaths,0.015265544,Missouri,1635
29903,2019,Number of Drug Overdose Deaths,0.01389382,Missouri,1603
30042,2020,Number of Drug Overdose Deaths,0.009178161,Missouri,1915
30185,2021,Number of Drug Overdose Deaths,0.018297066,Missouri,2195
30327,2022,Number of Drug Overdose Deaths,0.002701899,Missouri,2212
30584,2015,Number of Drug Overdose Deaths,0.009675547,Mississippi,333
30727,2016,Number of Drug Overdose Deaths,0.119293268,Mississippi,332
30876,2017,Number of Drug Overdose Deaths,0.222504768,Mississippi,329
31014,2018,Number of Drug Overdose Deaths,0.697336867,Mississippi,290
31163,2019,Number of Drug Overdose Deaths,0.511892128,Mississippi,365
31302,2020,Number of Drug Overdose Deaths,0.249306775,Mississippi,532
31445,2021,Number of Drug Overdose Deaths,0.101736973,Mississippi,746
31587,2022,Number of Drug Overdose Deaths,0.135814206,Mississippi,702
31844,2015,Number of Drug Overdose Deaths,0.141399859,Montana,131
31987,2016,Number of Drug Overdose Deaths,0.140830902,Montana,114
32136,2017,Number of Drug Overdose Deaths,0.0,Montana,118
32274,2018,Number of Drug Overdose Deaths,0.020028039,Montana,117
32423,2019,Number of Drug Overdose Deaths,0.009579462,Montana,139
32562,2020,Number of Drug Overdose Deaths,0.0,Montana,157
32705,2021,Number of Drug Overdose Deaths,0.0,Montana,189
32847,2022,Number of Drug Overdose Deaths,0.008494012,Montana,191
33104,2015,Number of Drug Overdose Deaths,0.245487365,North Carolina,1537
33247,2016,Number of Drug Overdose Deaths,0.260536398,North Carolina,1931
33396,2017,Number of Drug Overdose Deaths,0.395530085,North Carolina,2369
33534,2018,Number of Drug Overdose Deaths,0.299549621,North Carolina,2246
33683,2019,Number of Drug Overdose Deaths,0.553360501,North Carolina,2236
33822,2020,Number of Drug Overdose Deaths,0.549520419,North Carolina,3121
33965,2021,Number of Drug Overdose Deaths,0.493488806,North Carolina,3900
34107,2022,Number of Drug Overdose Deaths,0.398978334,North Carolina,4202
34364,2015,Number of Drug Overdose Deaths,0.145433392,North Dakota,66
34507,2016,Number of Drug Overdose Deaths,0.249779606,North Dakota,80
34656,2017,Number of Drug Overdose Deaths,0.225733634,North Dakota,76
34794,2018,Number of Drug Overdose Deaths,0.085324232,North Dakota,70
34943,2019,Number of Drug Overdose Deaths,0.243572395,North Dakota,90
35082,2020,Number of Drug Overdose Deaths,0.045253988,North Dakota,123
35225,2021,Number of Drug Overdose Deaths,0.08636644,North Dakota,136
35367,2022,Number of Drug Overdose Deaths,0.0,North Dakota,141
35602,2015,Number of Drug Overdose Deaths,0.0,Nebraska,123
35638,2016,Number of Drug Overdose Deaths,0.024390244,Nebraska,113
35674,2017,Number of Drug Overdose Deaths,0.01756029,Nebraska,157
35709,2018,Number of Drug Overdose Deaths,0.029127345,Nebraska,140
35747,2019,Number of Drug Overdose Deaths,0.07559458,Nebraska,146
35781,2020,Number of Drug Overdose Deaths,0.081210029,Nebraska,210
35817,2021,Number of Drug Overdose Deaths,0.036647296,Nebraska,218
35853,2022,Number of Drug Overdose Deaths,0.037243948,Nebraska,223
35939,2015,Number of Drug Overdose Deaths,0.136472194,New Hampshire,415
36082,2016,Number of Drug Overdose Deaths,0.067176085,New Hampshire,458
36231,2017,Number of Drug Overdose Deaths,0.016276042,New Hampshire,478
36369,2018,Number of Drug Overdose Deaths,0.039971221,New Hampshire,446
36518,2019,Number of Drug Overdose Deaths,0.0,New Hampshire,395
36657,2020,Number of Drug Overdose Deaths,0.022200844,New Hampshire,393
36800,2021,Number of Drug Overdose Deaths,0.050472276,New Hampshire,433
36942,2022,Number of Drug Overdose Deaths,0.006986655,New Hampshire,484
37199,2015,Number of Drug Overdose Deaths,0.348760354,New Jersey,1423
37342,2016,Number of Drug Overdose Deaths,0.410643434,New Jersey,1971
37491,2017,Number of Drug Overdose Deaths,0.190682264,New Jersey,2621
37629,2018,Number of Drug Overdose Deaths,0.192428474,New Jersey,2857
37778,2019,Number of Drug Overdose Deaths,0.148086321,New Jersey,2774
37917,2020,Number of Drug Overdose Deaths,0.12348909,New Jersey,2817
38060,2021,Number of Drug Overdose Deaths,0.220085163,New Jersey,3009
38202,2022,Number of Drug Overdose Deaths,0.384558497,New Jersey,2945
38459,2015,Number of Drug Overdose Deaths,0.093775642,New Mexico,496
38602,2016,Number of Drug Overdose Deaths,0.050652859,New Mexico,494
38751,2017,Number of Drug Overdose Deaths,0.160575858,New Mexico,494
38889,2018,Number of Drug Overdose Deaths,0.211496746,New Mexico,525
39038,2019,Number of Drug Overdose Deaths,0.142811806,New Mexico,609
39177,2020,Number of Drug Overdose Deaths,0.246806668,New Mexico,792
39320,2021,Number of Drug Overdose Deaths,0.081287596,New Mexico,1040
39462,2022,Number of Drug Overdose Deaths,0.174825175,New Mexico,1007
39719,2015,Number of Drug Overdose Deaths,0.004228866,Nevada,665
39862,2016,Number of Drug Overdose Deaths,0.0,Nevada,707
40011,2017,Number of Drug Overdose Deaths,0.077854335,Nevada,756
40149,2018,Number of Drug Overdose Deaths,0.250303101,Nevada,741
40298,2019,Number of Drug Overdose Deaths,0.094542979,Nevada,710
40437,2020,Number of Drug Overdose Deaths,0.060526903,Nevada,915
40580,2021,Number of Drug Overdose Deaths,0.038290477,Nevada,1039
40722,2022,Number of Drug Overdose Deaths,0.031213909,Nevada,1127
40979,2015,Number of Drug Overdose Deaths,0.405174865,New York,1802
41122,2016,Number of Drug Overdose Deaths,0.585221635,New York,2248
41271,2017,Number of Drug Overdose Deaths,0.498000982,New York,2444
41409,2018,Number of Drug Overdose Deaths,0.466825586,New York,2236
41558,2019,Number of Drug Overdose Deaths,0.70299993,New York,2086
41697,2020,Number of Drug Overdose Deaths,0.413828923,New York,2874
41840,2021,Number of Drug Overdose Deaths,0.535675839,New York,3170
41982,2022,Number of Drug Overdose Deaths,0.234804657,New York,3401
42239,2015,Number of Drug Overdose Deaths,0.026246053,Ohio,3336
42382,2016,Number of Drug Overdose Deaths,0.030095805,Ohio,4326
42531,2017,Number of Drug Overdose Deaths,0.011300712,Ohio,5138
42669,2018,Number of Drug Overdose Deaths,0.016047372,Ohio,4004
42818,2019,Number of Drug Overdose Deaths,0.016977929,Ohio,4279
42957,2020,Number of Drug Overdose Deaths,0.017367503,Ohio,5215
43100,2021,Number of Drug Overdose Deaths,0.009487345,Ohio,5405
43242,2022,Number of Drug Overdose Deaths,0.005790304,Ohio,5144
43499,2015,Number of Drug Overdose Deaths,0.018266747,Oklahoma,722
43642,2016,Number of Drug Overdose Deaths,0.013099293,Oklahoma,803
43791,2017,Number of Drug Overdose Deaths,0.005086729,Oklahoma,770
43929,2018,Number of Drug Overdose Deaths,0.072725449,Oklahoma,703
44078,2019,Number of Drug Overdose Deaths,0.032690422,Oklahoma,618
44217,2020,Number of Drug Overdose Deaths,0.135699823,Oklahoma,746
44360,2021,Number of Drug Overdose Deaths,0.124109868,Oklahoma,934
44502,2022,Number of Drug Overdose Deaths,0.124364775,Oklahoma,1183
44759,2015,Number of Drug Overdose Deaths,0.022388895,Oregon,497
44902,2016,Number of Drug Overdose Deaths,0.072387104,Oregon,496
45051,2017,Number of Drug Overdose Deaths,0.049053004,Oregon,534
45189,2018,Number of Drug Overdose Deaths,0.052474591,Oregon,556
45338,2019,Number of Drug Overdose Deaths,0.077482099,Oregon,610
45477,2020,Number of Drug Overdose Deaths,0.059645112,Oregon,797
45620,2021,Number of Drug Overdose Deaths,0.046638683,Oregon,1181
45762,2022,Number of Drug Overdose Deaths,0.06281407,Oregon,1387
45997,2015,Number of Drug Overdose Deaths,0.275173105,Pennsylvania,3263
46033,2016,Number of Drug Overdose Deaths,0.289913249,Pennsylvania,4648
46069,2017,Number of Drug Overdose Deaths,0.205130451,Pennsylvania,5434
46104,2018,Number of Drug Overdose Deaths,0.196252821,Pennsylvania,4415
46142,2019,Number of Drug Overdose Deaths,0.150838485,Pennsylvania,4444
46176,2020,Number of Drug Overdose Deaths,0.225400677,Pennsylvania,5178
46212,2021,Number of Drug Overdose Deaths,0.131847594,Pennsylvania,5444
46248,2022,Number of Drug Overdose Deaths,0.095425659,Pennsylvania,5212
46334,2015,Number of Drug Overdose Deaths,0.0,Rhode Island,319
46477,2016,Number of Drug Overdose Deaths,0.069839369,Rhode Island,346
46626,2017,Number of Drug Overdose Deaths,0.124473382,Rhode Island,332
46764,2018,Number of Drug Overdose Deaths,0.0,Rhode Island,331
46913,2019,Number of Drug Overdose Deaths,0.207175817,Rhode Island,317
47052,2020,Number of Drug Overdose Deaths,0.016447368,Rhode Island,397
47195,2021,Number of Drug Overdose Deaths,0.042981174,Rhode Island,460
47337,2022,Number of Drug Overdose Deaths,0.063256823,Rhode Island,452
47594,2015,Number of Drug Overdose Deaths,0.060407318,South Carolina,736
47737,2016,Number of Drug Overdose Deaths,0.038197908,South Carolina,871
47886,2017,Number of Drug Overdose Deaths,0.057829733,South Carolina,1001
48024,2018,Number of Drug Overdose Deaths,0.076680927,South Carolina,1106
48173,2019,Number of Drug Overdose Deaths,0.091985282,South Carolina,1131
48312,2020,Number of Drug Overdose Deaths,0.05805756,South Carolina,1729
48455,2021,Number of Drug Overdose Deaths,0.040443636,South Carolina,2166
48597,2022,Number of Drug Overdose Deaths,0.045009002,South Carolina,2292
48854,2015,Number of Drug Overdose Deaths,0.038003547,South Dakota,62
48997,2016,Number of Drug Overdose Deaths,0.025173065,South Dakota,69
49146,2017,Number of Drug Overdose Deaths,0.024570025,South Dakota,75
49284,2018,Number of Drug Overdose Deaths,0.0,South Dakota,57
49433,2019,Number of Drug Overdose Deaths,0.035769643,South Dakota,88
49572,2020,Number of Drug Overdose Deaths,0.009875568,South Dakota,74
49715,2021,Number of Drug Overdose Deaths,0.053151908,South Dakota,101
49857,2022,Number of Drug Overdose Deaths,0.021822149,South Dakota,84
50114,2015,Number of Drug Overdose Deaths,0.290445207,Tennessee,1455
50257,2016,Number of Drug Overdose Deaths,0.148239309,Tennessee,1643
50406,2017,Number of Drug Overdose Deaths,0.252395039,Tennessee,1783
50544,2018,Number of Drug Overdose Deaths,0.435537742,Tennessee,1837
50693,2019,Number of Drug Overdose Deaths,0.158388659,Tennessee,2138
50832,2020,Number of Drug Overdose Deaths,0.15723804,Tennessee,3090
50975,2021,Number of Drug Overdose Deaths,0.153379067,Tennessee,3861
51117,2022,Number of Drug Overdose Deaths,0.108313025,Tennessee,3862
51374,2015,Number of Drug Overdose Deaths,0.177733431,Texas,2579
51517,2016,Number of Drug Overdose Deaths,0.173473001,Texas,2812
51666,2017,Number of Drug Overdose Deaths,0.070706568,Texas,2950
51804,2018,Number of Drug Overdose Deaths,0.207325164,Texas,2971
51953,2019,Number of Drug Overdose Deaths,0.178733174,Texas,3123
52092,2020,Number of Drug Overdose Deaths,0.130468544,Texas,4154
52235,2021,Number of Drug Overdose Deaths,0.262974708,Texas,4912
52377,2022,Number of Drug Overdose Deaths,0.299847632,Texas,5457
53894,2015,Number of Drug Overdose Deaths,0.319417204,Utah,649
54037,2016,Number of Drug Overdose Deaths,0.908206293,Utah,650
54186,2017,Number of Drug Overdose Deaths,0.240950953,Utah,645
54324,2018,Number of Drug Overdose Deaths,0.157737,Utah,630
54473,2019,Number of Drug Overdose Deaths,0.118385835,Utah,575
54612,2020,Number of Drug Overdose Deaths,0.063028993,Utah,622
54755,2021,Number of Drug Overdose Deaths,0.008503763,Utah,675
54897,2022,Number of Drug Overdose Deaths,0.048313422,Utah,646
55154,2015,Number of Drug Overdose Deaths,0.030883261,Virginia,1002
55297,2016,Number of Drug Overdose Deaths,0.019823117,Virginia,1356
55446,2017,Number of Drug Overdose Deaths,0.032481434,Virginia,1455
55584,2018,Number of Drug Overdose Deaths,0.011687534,Virginia,1434
55733,2019,Number of Drug Overdose Deaths,0.072016016,Virginia,1538
55872,2020,Number of Drug Overdose Deaths,0.061627468,Virginia,2185
56015,2021,Number of Drug Overdose Deaths,0.0,Virginia,2603
56157,2022,Number of Drug Overdose Deaths,0.002431079,Virginia,2491
56414,2015,Number of Drug Overdose Deaths,0.0,Vermont,99
56557,2016,Number of Drug Overdose Deaths,0.0,Vermont,136
56706,2017,Number of Drug Overdose Deaths,0.0,Vermont,128
56844,2018,Number of Drug Overdose Deaths,0.0,Vermont,144
56993,2019,Number of Drug Overdose Deaths,0.0,Vermont,118
57132,2020,Number of Drug Overdose Deaths,0.0,Vermont,186
57275,2021,Number of Drug Overdose Deaths,0.0,Vermont,251
57417,2022,Number of Drug Overdose Deaths,0.0,Vermont,266
57674,2015,Number of Drug Overdose Deaths,0.005491589,Washington,1109
57817,2016,Number of Drug Overdose Deaths,0.021911005,Washington,1117
57966,2017,Number of Drug Overdose Deaths,0.087750088,Washington,1168
58104,2018,Number of Drug Overdose Deaths,0.138793724,Washington,1163
58253,2019,Number of Drug Overdose Deaths,0.070422535,Washington,1251
58392,2020,Number of Drug Overdose Deaths,0.022215522,Washington,1726
58535,2021,Number of Drug Overdose Deaths,0.039303026,Washington,2264
58677,2022,Number of Drug Overdose Deaths,0.06792791,Washington,2753
58934,2015,Number of Drug Overdose Deaths,0.207541998,Wisconsin,873
59077,2016,Number of Drug Overdose Deaths,0.108422072,Wisconsin,1079
59226,2017,Number of Drug Overdose Deaths,0.171131943,Wisconsin,1177
59364,2018,Number of Drug Overdose Deaths,0.085957208,Wisconsin,1087
59513,2019,Number of Drug Overdose Deaths,0.088913587,Wisconsin,1200
59652,2020,Number of Drug Overdose Deaths,0.081643108,Wisconsin,1531
59795,2021,Number of Drug Overdose Deaths,0.146357507,Wisconsin,1759
59937,2022,Number of Drug Overdose Deaths,0.257120581,Wisconsin,1780
60194,2015,Number of Drug Overdose Deaths,0.139809678,West Virginia,729
60337,2016,Number of Drug Overdose Deaths,0.159163256,West Virginia,879
60486,2017,Number of Drug Overdose Deaths,0.341281801,West Virginia,997
60624,2018,Number of Drug Overdose Deaths,0.502161478,West Virginia,882
60773,2019,Number of Drug Overdose Deaths,0.668209809,West Virginia,852
60912,2020,Number of Drug Overdose Deaths,0.241734248,West Virginia,1331
61055,2021,Number of Drug Overdose Deaths,0.197854837,West Virginia,1506
61197,2022,Number of Drug Overdose Deaths,0.644134306,West Virginia,1318
61454,2015,Number of Drug Overdose Deaths,0.044375416,Wyoming,92
61597,2016,Number of Drug Overdose Deaths,0.0,Wyoming,93
