,Year,Geography,GeographyType,Indicator,Value,ValueType
251,2018,Carter,County,Tramadol,12384,Count
297,2018,Cheatham,County,All Benzodiazepines,23812,Count
298,2018,Cheatham,County,Alprazolam,9699,Count
299,2018,Cheatham,County,Clonazepam,5904,Count
300,2018,Cheatham,County,Diazepam,3829,Count
301,2018,Cheatham,County,Lorazepam,2838,Count
302,2018,Cheatham,County,All Opioids for Pain,45016,Count
303,2018,Cheatham,County,Hydrocodone,17796,Count
304,2018,Cheatham,County,Oxycodone,14875,Count
305,2018,Cheatham,County,Tramadol,6312,Count
324,2018,Chester,County,All Benzodiazepines,12566,Count
325,2018,Chester,County,Alprazolam,7492,Count
326,2018,Chester,County,Clonazepam,2218,Count
327,2018,Chester,County,Diazepam,992,Count
328,2018,Chester,County,Lorazepam,1291,Count
329,2018,Chester,County,All Opioids for Pain,20278,Count
330,2018,Chester,County,Hydrocodone,9980,Count
331,2018,Chester,County,Oxycodone,4345,Count
332,2018,Chester,County,Tramadol,3206,Count
351,2018,Claiborne,County,All Benzodiazepines,24248,Count
352,2018,Claiborne,County,Alprazolam,10602,Count
353,2018,Claiborne,County,Clonazepam,5919,Count
354,2018,Claiborne,County,Diazepam,3497,Count
355,2018,Claiborne,County,Lorazepam,3303,Count
356,2018,Claiborne,County,All Opioids for Pain,46632,Count
357,2018,Claiborne,County,Hydrocodone,22849,Count
358,2018,Claiborne,County,Oxycodone,11238,Count
359,2018,Claiborne,County,Tramadol,5098,Count
378,2018,Clay,County,All Benzodiazepines,5816,Count
379,2018,Clay,County,Alprazolam,2198,Count
380,2018,Clay,County,Clonazepam,1682,Count
381,2018,Clay,County,Diazepam,796,Count
382,2018,Clay,County,Lorazepam,895,Count
383,2018,Clay,County,All Opioids for Pain,12445,Count
384,2018,Clay,County,Hydrocodone,3636,Count
385,2018,Clay,County,Oxycodone,6060,Count
386,2018,Clay,County,Tramadol,1215,Count
405,2018,Cocke,County,All Benzodiazepines,25276,Count
406,2018,Cocke,County,Alprazolam,9325,Count
407,2018,Cocke,County,Clonazepam,6667,Count
408,2018,Cocke,County,Diazepam,4095,Count
409,2018,Cocke,County,Lorazepam,3582,Count
410,2018,Cocke,County,All Opioids for Pain,54851,Count
411,2018,Cocke,County,Hydrocodone,25782,Count
412,2018,Cocke,County,Oxycodone,16293,Count
413,2018,Cocke,County,Tramadol,5168,Count
432,2018,Coffee,County,All Benzodiazepines,35950,Count
433,2018,Coffee,County,Alprazolam,17889,Count
434,2018,Coffee,County,Clonazepam,5280,Count
435,2018,Coffee,County,Diazepam,4190,Count
436,2018,Coffee,County,Lorazepam,6310,Count
437,2018,Coffee,County,All Opioids for Pain,71515,Count
438,2018,Coffee,County,Hydrocodone,30646,Count
439,2018,Coffee,County,Oxycodone,24204,Count
440,2018,Coffee,County,Tramadol,7879,Count
459,2018,Crockett,County,All Benzodiazepines,12105,Count
460,2018,Crockett,County,Alprazolam,7345,Count
461,2018,Crockett,County,Clonazepam,1429,Count
462,2018,Crockett,County,Diazepam,789,Count
463,2018,Crockett,County,Lorazepam,1568,Count
464,2018,Crockett,County,All Opioids for Pain,14634,Count
465,2018,Crockett,County,Hydrocodone,7698,Count
466,2018,Crockett,County,Oxycodone,2862,Count
467,2018,Crockett,County,Tramadol,2746,Count
486,2018,Cumberland,County,All Benzodiazepines,31265,Count
487,2018,Cumberland,County,Alprazolam,13891,Count
488,2018,Cumberland,County,Clonazepam,5678,Count
489,2018,Cumberland,County,Diazepam,3610,Count
490,2018,Cumberland,County,Lorazepam,5567,Count
491,2018,Cumberland,County,All Opioids for Pain,72840,Count
492,2018,Cumberland,County,Hydrocodone,23112,Count
493,2018,Cumberland,County,Oxycodone,30015,Count
494,2018,Cumberland,County,Tramadol,8834,Count
513,2018,Davidson,County,All Benzodiazepines,236306,Count
514,2018,Davidson,County,Alprazolam,91423,Count
515,2018,Davidson,County,Clonazepam,54388,Count
516,2018,Davidson,County,Diazepam,33397,Count
517,2018,Davidson,County,Lorazepam,38980,Count
518,2018,Davidson,County,All Opioids for Pain,441913,Count
519,2018,Davidson,County,Hydrocodone,190307,Count
520,2018,Davidson,County,Oxycodone,138250,Count
521,2018,Davidson,County,Tramadol,65308,Count
540,2018,Decatur,County,All Benzodiazepines,10377,Count
541,2018,Decatur,County,Alprazolam,5731,Count
542,2018,Decatur,County,Clonazepam,1825,Count
543,2018,Decatur,County,Diazepam,1022,Count
544,2018,Decatur,County,Lorazepam,1282,Count
545,2018,Decatur,County,All Opioids for Pain,15958,Count
546,2018,Decatur,County,Hydrocodone,7330,Count
547,2018,Decatur,County,Oxycodone,4530,Count
548,2018,Decatur,County,Tramadol,2033,Count
567,2018,DeKalb,County,All Benzodiazepines,12725,Count
568,2018,DeKalb,County,Alprazolam,5061,Count
569,2018,DeKalb,County,Clonazepam,2243,Count
570,2018,DeKalb,County,Diazepam,1697,Count
571,2018,DeKalb,County,Lorazepam,2871,Count
572,2018,DeKalb,County,All Opioids for Pain,26186,Count
573,2018,DeKalb,County,Hydrocodone,12293,Count
574,2018,DeKalb,County,Oxycodone,8278,Count
575,2018,DeKalb,County,Tramadol,2376,Count
594,2018,Dickson,County,All Benzodiazepines,29919,Count
595,2018,Dickson,County,Alprazolam,11692,Count
596,2018,Dickson,County,Clonazepam,5838,Count
597,2018,Dickson,County,Diazepam,4920,Count
598,2018,Dickson,County,Lorazepam,5294,Count
599,2018,Dickson,County,All Opioids for Pain,54553,Count
600,2018,Dickson,County,Hydrocodone,19593,Count
601,2018,Dickson,County,Oxycodone,19452,Count
602,2018,Dickson,County,Tramadol,8275,Count
621,2018,Dyer,County,All Benzodiazepines,27424,Count
622,2018,Dyer,County,Alprazolam,14608,Count
623,2018,Dyer,County,Clonazepam,4525,Count
624,2018,Dyer,County,Diazepam,2826,Count
625,2018,Dyer,County,Lorazepam,4384,Count
626,2018,Dyer,County,All Opioids for Pain,47422,Count
627,2018,Dyer,County,Hydrocodone,25743,Count
628,2018,Dyer,County,Oxycodone,12187,Count
629,2018,Dyer,County,Tramadol,5642,Count
675,2018,Fayette,County,All Benzodiazepines,21618,Count
676,2018,Fayette,County,Alprazolam,10093,Count
677,2018,Fayette,County,Clonazepam,4515,Count
678,2018,Fayette,County,Diazepam,2167,Count
679,2018,Fayette,County,Lorazepam,3206,Count
680,2018,Fayette,County,All Opioids for Pain,36225,Count
681,2018,Fayette,County,Hydrocodone,16734,Count
682,2018,Fayette,County,Oxycodone,9845,Count
683,2018,Fayette,County,Tramadol,5636,Count
702,2018,Fentress,County,All Benzodiazepines,10191,Count
703,2018,Fentress,County,Alprazolam,3729,Count
704,2018,Fentress,County,Clonazepam,2862,Count
705,2018,Fentress,County,Diazepam,1165,Count
706,2018,Fentress,County,Lorazepam,2047,Count
707,2018,Fentress,County,All Opioids for Pain,30588,Count
708,2018,Fentress,County,Hydrocodone,7464,Count
709,2018,Fentress,County,Oxycodone,15969,Count
710,2018,Fentress,County,Tramadol,2024,Count
729,2018,Franklin,County,All Benzodiazepines,27509,Count
730,2018,Franklin,County,Alprazolam,13384,Count
731,2018,Franklin,County,Clonazepam,4302,Count
732,2018,Franklin,County,Diazepam,2812,Count
733,2018,Franklin,County,Lorazepam,4512,Count
734,2018,Franklin,County,All Opioids for Pain,49147,Count
735,2018,Franklin,County,Hydrocodone,21544,Count
736,2018,Franklin,County,Oxycodone,14775,Count
737,2018,Franklin,County,Tramadol,6708,Count
756,2018,Gibson,County,All Benzodiazepines,43808,Count
757,2018,Gibson,County,Alprazolam,24479,Count
758,2018,Gibson,County,Clonazepam,5904,Count
759,2018,Gibson,County,Diazepam,2609,Count
760,2018,Gibson,County,Lorazepam,7845,Count
761,2018,Gibson,County,All Opioids for Pain,60678,Count
762,2018,Gibson,County,Hydrocodone,32716,Count
763,2018,Gibson,County,Oxycodone,10923,Count
764,2018,Gibson,County,Tramadol,10823,Count
783,2018,Giles,County,All Benzodiazepines,19310,Count
784,2018,Giles,County,Alprazolam,9329,Count
785,2018,Giles,County,Clonazepam,3169,Count
786,2018,Giles,County,Diazepam,2374,Count
787,2018,Giles,County,Lorazepam,2758,Count
788,2018,Giles,County,All Opioids for Pain,35106,Count
789,2018,Giles,County,Hydrocodone,16180,Count
790,2018,Giles,County,Oxycodone,11370,Count
791,2018,Giles,County,Tramadol,3979,Count
810,2018,Grainger,County,All Benzodiazepines,15933,Count
811,2018,Grainger,County,Alprazolam,5634,Count
812,2018,Grainger,County,Clonazepam,5420,Count
813,2018,Grainger,County,Diazepam,1633,Count
814,2018,Grainger,County,Lorazepam,2420,Count
815,2018,Grainger,County,All Opioids for Pain,28243,Count
816,2018,Grainger,County,Hydrocodone,12355,Count
817,2018,Grainger,County,Oxycodone,7621,Count
818,2018,Grainger,County,Tramadol,3932,Count
837,2018,Greene,County,All Benzodiazepines,58689,Count
838,2018,Greene,County,Alprazolam,20842,Count
839,2018,Greene,County,Clonazepam,16588,Count
840,2018,Greene,County,Diazepam,6531,Count
841,2018,Greene,County,Lorazepam,10980,Count
842,2018,Greene,County,All Opioids for Pain,82059,Count
843,2018,Greene,County,Hydrocodone,38047,Count
844,2018,Greene,County,Oxycodone,21364,Count
845,2018,Greene,County,Tramadol,13227,Count
864,2018,Grundy,County,All Benzodiazepines,11712,Count
865,2018,Grundy,County,Alprazolam,6029,Count
866,2018,Grundy,County,Clonazepam,1634,Count
867,2018,Grundy,County,Diazepam,1442,Count
868,2018,Grundy,County,Lorazepam,1938,Count
869,2018,Grundy,County,All Opioids for Pain,23238,Count
870,2018,Grundy,County,Hydrocodone,8792,Count
871,2018,Grundy,County,Oxycodone,9883,Count
872,2018,Grundy,County,Tramadol,2314,Count
891,2018,Hamblen,County,All Benzodiazepines,39339,Count
892,2018,Hamblen,County,Alprazolam,12292,Count
893,2018,Hamblen,County,Clonazepam,14166,Count
894,2018,Hamblen,County,Diazepam,3858,Count
895,2018,Hamblen,County,Lorazepam,6554,Count
896,2018,Hamblen,County,All Opioids for Pain,70201,Count
897,2018,Hamblen,County,Hydrocodone,32931,Count
898,2018,Hamblen,County,Oxycodone,18590,Count
899,2018,Hamblen,County,Tramadol,9178,Count
918,2018,Hamilton,County,All Benzodiazepines,162699,Count
919,2018,Hamilton,County,Alprazolam,51207,Count
920,2018,Hamilton,County,Clonazepam,41483,Count
921,2018,Hamilton,County,Diazepam,17534,Count
922,2018,Hamilton,County,Lorazepam,37657,Count
923,2018,Hamilton,County,All Opioids for Pain,309306,Count
924,2018,Hamilton,County,Hydrocodone,129216,Count
925,2018,Hamilton,County,Oxycodone,89090,Count
926,2018,Hamilton,County,Tramadol,52269,Count
945,2018,Hancock,County,All Benzodiazepines,4495,Count
946,2018,Hancock,County,Alprazolam,952,Count
947,2018,Hancock,County,Clonazepam,2300,Count
948,2018,Hancock,County,Diazepam,555,Count
949,2018,Hancock,County,Lorazepam,567,Count
950,2018,Hancock,County,All Opioids for Pain,9105,Count
951,2018,Hancock,County,Hydrocodone,3942,Count
952,2018,Hancock,County,Oxycodone,2592,Count
953,2018,Hancock,County,Tramadol,1150,Count
972,2018,Hardeman,County,All Benzodiazepines,16753,Count
973,2018,Hardeman,County,Alprazolam,8352,Count
974,2018,Hardeman,County,Clonazepam,3105,Count
975,2018,Hardeman,County,Diazepam,1396,Count
976,2018,Hardeman,County,Lorazepam,2843,Count
977,2018,Hardeman,County,All Opioids for Pain,30825,Count
978,2018,Hardeman,County,Hydrocodone,18400,Count
979,2018,Hardeman,County,Oxycodone,5105,Count
980,2018,Hardeman,County,Tramadol,4246,Count
999,2018,Hardin,County,All Benzodiazepines,24329,Count
1000,2018,Hardin,County,Alprazolam,10836,Count
1001,2018,Hardin,County,Clonazepam,4604,Count
1002,2018,Hardin,County,Diazepam,1891,Count
1003,2018,Hardin,County,Lorazepam,4750,Count
1004,2018,Hardin,County,All Opioids for Pain,39421,Count
1005,2018,Hardin,County,Hydrocodone,19463,Count
1006,2018,Hardin,County,Oxycodone,7780,Count
1007,2018,Hardin,County,Tramadol,7152,Count
1026,2018,Hawkins,County,All Benzodiazepines,45730,Count
1027,2018,Hawkins,County,Alprazolam,16612,Count
1028,2018,Hawkins,County,Clonazepam,14262,Count
1029,2018,Hawkins,County,Diazepam,4929,Count
1030,2018,Hawkins,County,Lorazepam,7744,Count
1031,2018,Hawkins,County,All Opioids for Pain,76698,Count
1032,2018,Hawkins,County,Hydrocodone,34414,Count
1033,2018,Hawkins,County,Oxycodone,24560,Count
1034,2018,Hawkins,County,Tramadol,9729,Count
1053,2018,Haywood,County,All Benzodiazepines,9307,Count
1054,2018,Haywood,County,Alprazolam,4816,Count
1055,2018,Haywood,County,Clonazepam,1426,Count
1056,2018,Haywood,County,Diazepam,764,Count
1057,2018,Haywood,County,Lorazepam,1364,Count
1058,2018,Haywood,County,All Opioids for Pain,15184,Count
1059,2018,Haywood,County,Hydrocodone,7920,Count
1060,2018,Haywood,County,Oxycodone,2882,Count
1061,2018,Haywood,County,Tramadol,2887,Count
1080,2018,Henderson,County,All Benzodiazepines,23600,Count
1081,2018,Henderson,County,Alprazolam,13461,Count
1082,2018,Henderson,County,Clonazepam,4455,Count
1083,2018,Henderson,County,Diazepam,1822,Count
1084,2018,Henderson,County,Lorazepam,2859,Count
1085,2018,Henderson,County,All Opioids for Pain,33881,Count
1086,2018,Henderson,County,Hydrocodone,15815,Count
1087,2018,Henderson,County,Oxycodone,7384,Count
1088,2018,Henderson,County,Tramadol,6048,Count
1107,2018,Henry,County,All Benzodiazepines,22667,Count
1108,2018,Henry,County,Alprazolam,10811,Count
1109,2018,Henry,County,Clonazepam,3180,Count
1110,2018,Henry,County,Diazepam,2245,Count
1111,2018,Henry,County,Lorazepam,3425,Count
1112,2018,Henry,County,All Opioids for Pain,42880,Count
1113,2018,Henry,County,Hydrocodone,21692,Count
1114,2018,Henry,County,Oxycodone,10342,Count
1115,2018,Henry,County,Tramadol,5640,Count
1134,2018,Hickman,County,All Benzodiazepines,15189,Count
1135,2018,Hickman,County,Alprazolam,6968,Count
1136,2018,Hickman,County,Clonazepam,3012,Count
1137,2018,Hickman,County,Diazepam,2203,Count
1138,2018,Hickman,County,Lorazepam,2203,Count
1139,2018,Hickman,County,All Opioids for Pain,29896,Count
1140,2018,Hickman,County,Hydrocodone,12082,Count
1141,2018,Hickman,County,Oxycodone,10268,Count
1142,2018,Hickman,County,Tramadol,3659,Count
1161,2018,Houston,County,All Benzodiazepines,5642,Count
1162,2018,Houston,County,Alprazolam,2094,Count
1163,2018,Houston,County,Clonazepam,969,Count
1164,2018,Houston,County,Diazepam,997,Count
1165,2018,Houston,County,Lorazepam,1174,Count
1166,2018,Houston,County,All Opioids for Pain,11307,Count
1167,2018,Houston,County,Hydrocodone,3975,Count
1168,2018,Houston,County,Oxycodone,4366,Count
1169,2018,Houston,County,Tramadol,1314,Count
1188,2018,Humphreys,County,All Benzodiazepines,11961,Count
1189,2018,Humphreys,County,Alprazolam,5947,Count
1190,2018,Humphreys,County,Clonazepam,2178,Count
1191,2018,Humphreys,County,Diazepam,1472,Count
1192,2018,Humphreys,County,Lorazepam,1689,Count
1193,2018,Humphreys,County,All Opioids for Pain,21383,Count
1194,2018,Humphreys,County,Hydrocodone,9668,Count
1195,2018,Humphreys,County,Oxycodone,6284,Count
1196,2018,Humphreys,County,Tramadol,2580,Count
1215,2018,Jackson,County,All Benzodiazepines,8645,Count
1216,2018,Jackson,County,Alprazolam,3657,Count
1217,2018,Jackson,County,Clonazepam,2269,Count
1218,2018,Jackson,County,Diazepam,1268,Count
1219,2018,Jackson,County,Lorazepam,1184,Count
1220,2018,Jackson,County,All Opioids for Pain,16643,Count
1221,2018,Jackson,County,Hydrocodone,5872,Count
1222,2018,Jackson,County,Oxycodone,7068,Count
1223,2018,Jackson,County,Tramadol,1563,Count
1269,2018,Jefferson,County,All Benzodiazepines,29779,Count
1270,2018,Jefferson,County,Alprazolam,10999,Count
1271,2018,Jefferson,County,Clonazepam,7523,Count
1272,2018,Jefferson,County,Diazepam,3568,Count
1273,2018,Jefferson,County,Lorazepam,5891,Count
1274,2018,Jefferson,County,All Opioids for Pain,59450,Count
1275,2018,Jefferson,County,Hydrocodone,25749,Count
1276,2018,Jefferson,County,Oxycodone,16441,Count
1277,2018,Jefferson,County,Tramadol,9495,Count
1296,2018,Johnson,County,All Benzodiazepines,10452,Count
1297,2018,Johnson,County,Alprazolam,3976,Count
1298,2018,Johnson,County,Clonazepam,3376,Count
1299,2018,Johnson,County,Diazepam,1080,Count
1300,2018,Johnson,County,Lorazepam,1526,Count
1301,2018,Johnson,County,All Opioids for Pain,16622,Count
1302,2018,Johnson,County,Hydrocodone,6920,Count
1303,2018,Johnson,County,Oxycodone,4442,Count
1304,2018,Johnson,County,Tramadol,3044,Count
1323,2018,Knox,County,All Benzodiazepines,214273,Count
1324,2018,Knox,County,Alprazolam,93841,Count
1325,2018,Knox,County,Clonazepam,43709,Count
1326,2018,Knox,County,Diazepam,22850,Count
1327,2018,Knox,County,Lorazepam,35787,Count
1328,2018,Knox,County,All Opioids for Pain,350236,Count
1329,2018,Knox,County,Hydrocodone,138890,Count
1330,2018,Knox,County,Oxycodone,104697,Count
1331,2018,Knox,County,Tramadol,60686,Count
1377,2018,Lake,County,All Benzodiazepines,5859,Count
1378,2018,Lake,County,Alprazolam,2643,Count
1379,2018,Lake,County,Clonazepam,1087,Count
1380,2018,Lake,County,Diazepam,740,Count
1381,2018,Lake,County,Lorazepam,1138,Count
1382,2018,Lake,County,All Opioids for Pain,11606,Count
1383,2018,Lake,County,Hydrocodone,6751,Count
1384,2018,Lake,County,Oxycodone,2541,Count
1385,2018,Lake,County,Tramadol,1065,Count
1404,2018,Lauderdale,County,All Benzodiazepines,14115,Count
1405,2018,Lauderdale,County,Alprazolam,8119,Count
1406,2018,Lauderdale,County,Clonazepam,2123,Count
1407,2018,Lauderdale,County,Diazepam,1131,Count
1408,2018,Lauderdale,County,Lorazepam,2144,Count
1409,2018,Lauderdale,County,All Opioids for Pain,29157,Count
1410,2018,Lauderdale,County,Hydrocodone,17031,Count
1411,2018,Lauderdale,County,Oxycodone,6528,Count
1412,2018,Lauderdale,County,Tramadol,3534,Count
1431,2018,Lawrence,County,All Benzodiazepines,27302,Count
1432,2018,Lawrence,County,Alprazolam,13160,Count
1433,2018,Lawrence,County,Clonazepam,4962,Count
1434,2018,Lawrence,County,Diazepam,4545,Count
1435,2018,Lawrence,County,Lorazepam,3152,Count
1436,2018,Lawrence,County,All Opioids for Pain,53782,Count
1437,2018,Lawrence,County,Hydrocodone,25187,Count
1438,2018,Lawrence,County,Oxycodone,16408,Count
1439,2018,Lawrence,County,Tramadol,6096,Count
1458,2018,Lewis,County,All Benzodiazepines,9371,Count
1459,2018,Lewis,County,Alprazolam,4692,Count
1460,2018,Lewis,County,Clonazepam,1645,Count
1461,2018,Lewis,County,Diazepam,1000,Count
1462,2018,Lewis,County,Lorazepam,1462,Count
1463,2018,Lewis,County,All Opioids for Pain,17012,Count
1464,2018,Lewis,County,Hydrocodone,7731,Count
1465,2018,Lewis,County,Oxycodone,5062,Count
1466,2018,Lewis,County,Tramadol,2049,Count
1485,2018,Lincoln,County,All Benzodiazepines,17887,Count
1486,2018,Lincoln,County,Alprazolam,6735,Count
1487,2018,Lincoln,County,Clonazepam,4103,Count
1488,2018,Lincoln,County,Diazepam,1885,Count
1489,2018,Lincoln,County,Lorazepam,3889,Count
1490,2018,Lincoln,County,All Opioids for Pain,33036,Count
1491,2018,Lincoln,County,Hydrocodone,15882,Count
1492,2018,Lincoln,County,Oxycodone,9255,Count
1493,2018,Lincoln,County,Tramadol,4573,Count
1512,2018,Loudon,County,All Benzodiazepines,29411,Count
1513,2018,Loudon,County,Alprazolam,10754,Count
1514,2018,Loudon,County,Clonazepam,8466,Count
1515,2018,Loudon,County,Diazepam,3180,Count
1516,2018,Loudon,County,Lorazepam,4701,Count
1517,2018,Loudon,County,All Opioids for Pain,47661,Count
1518,2018,Loudon,County,Hydrocodone,19044,Count
1519,2018,Loudon,County,Oxycodone,13979,Count
1520,2018,Loudon,County,Tramadol,8312,Count
1539,2018,Macon,County,All Benzodiazepines,12966,Count
1540,2018,Macon,County,Alprazolam,5443,Count
1541,2018,Macon,County,Clonazepam,2731,Count
1542,2018,Macon,County,Diazepam,1819,Count
1543,2018,Macon,County,Lorazepam,1926,Count
1544,2018,Macon,County,All Opioids for Pain,29214,Count
1545,2018,Macon,County,Hydrocodone,13124,Count
1546,2018,Macon,County,Oxycodone,9595,Count
1547,2018,Macon,County,Tramadol,3069,Count
1566,2018,Madison,County,All Benzodiazepines,58238,Count
1567,2018,Madison,County,Alprazolam,33937,Count
1568,2018,Madison,County,Clonazepam,8595,Count
1569,2018,Madison,County,Diazepam,4096,Count
1570,2018,Madison,County,Lorazepam,8505,Count
1571,2018,Madison,County,All Opioids for Pain,94690,Count
1572,2018,Madison,County,Hydrocodone,50341,Count
1573,2018,Madison,County,Oxycodone,19412,Count
1574,2018,Madison,County,Tramadol,15443,Count
1593,2018,Marion,County,All Benzodiazepines,17108,Count
1594,2018,Marion,County,Alprazolam,6917,Count
1595,2018,Marion,County,Clonazepam,3419,Count
1596,2018,Marion,County,Diazepam,2324,Count
1597,2018,Marion,County,Lorazepam,2693,Count
1598,2018,Marion,County,All Opioids for Pain,39798,Count
1599,2018,Marion,County,Hydrocodone,17603,Count
1600,2018,Marion,County,Oxycodone,12518,Count
1601,2018,Marion,County,Tramadol,5389,Count
1620,2018,Marshall,County,All Benzodiazepines,18440,Count
1621,2018,Marshall,County,Alprazolam,8538,Count
1622,2018,Marshall,County,Clonazepam,3446,Count
1623,2018,Marshall,County,Diazepam,2449,Count
1624,2018,Marshall,County,Lorazepam,2863,Count
1625,2018,Marshall,County,All Opioids for Pain,39305,Count
1626,2018,Marshall,County,Hydrocodone,16530,Count
1627,2018,Marshall,County,Oxycodone,13384,Count
1628,2018,Marshall,County,Tramadol,4789,Count
1647,2018,Maury,County,All Benzodiazepines,46714,Count
1648,2018,Maury,County,Alprazolam,20026,Count
1649,2018,Maury,County,Clonazepam,10461,Count
1650,2018,Maury,County,Diazepam,6150,Count
1651,2018,Maury,County,Lorazepam,6992,Count
1652,2018,Maury,County,All Opioids for Pain,88653,Count
1653,2018,Maury,County,Hydrocodone,38009,Count
1654,2018,Maury,County,Oxycodone,27880,Count
1655,2018,Maury,County,Tramadol,12597,Count
1674,2018,McMinn,County,All Benzodiazepines,42909,Count
1675,2018,McMinn,County,Alprazolam,25305,Count
1676,2018,McMinn,County,Clonazepam,6452,Count
1677,2018,McMinn,County,Diazepam,3896,Count
1678,2018,McMinn,County,Lorazepam,4638,Count
1679,2018,McMinn,County,All Opioids for Pain,70004,Count
1680,2018,McMinn,County,Hydrocodone,29493,Count
1681,2018,McMinn,County,Oxycodone,23976,Count
1682,2018,McMinn,County,Tramadol,8553,Count
1701,2018,McNairy,County,All Benzodiazepines,22748,Count
1702,2018,McNairy,County,Alprazolam,11918,Count
1703,2018,McNairy,County,Clonazepam,4287,Count
1704,2018,McNairy,County,Diazepam,2021,Count
1705,2018,McNairy,County,Lorazepam,3119,Count
1706,2018,McNairy,County,All Opioids for Pain,35602,Count
