,Year,Geography,GeographyType,Indicator,Value,ValueType
120,2017,Bradley,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),5.0,Count
132,2017,Campbell,County,Drug Overdose Deaths Involving All Stimulants,5.0,Count
133,2017,Campbell,County,Drug Overdose Deaths Involving Benzodiazepines,3.0,Count
134,2017,Campbell,County,Drug Overdose Deaths Involving Cocaine,1.0,Count
135,2017,Campbell,County,Drug Overdose Deaths Involving Fentanyl,2.0,Count
136,2017,Campbell,County,Drug Overdose Deaths Involving Heroin,1.0,Count
137,2017,Campbell,County,Drug Overdose Deaths Involving Prescription Opioids,2.0,Count
138,2017,Campbell,County,Drug Overdose Deaths Involving All Opioids,5.0,Count
139,2017,Campbell,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,3.0,Count
140,2017,Campbell,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,2.0,Count
141,2017,Campbell,County,All Drug Overdose Deaths,11.0,Count
142,2017,Campbell,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),4.0,Count
154,2017,Cannon,County,Drug Overdose Deaths Involving All Stimulants,1.0,Count
155,2017,Cannon,County,Drug Overdose Deaths Involving Benzodiazepines,1.0,Count
156,2017,Cannon,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
157,2017,Cannon,County,Drug Overdose Deaths Involving Fentanyl,2.0,Count
158,2017,Cannon,County,Drug Overdose Deaths Involving Heroin,3.0,Count
159,2017,Cannon,County,Drug Overdose Deaths Involving Prescription Opioids,2.0,Count
160,2017,Cannon,County,Drug Overdose Deaths Involving All Opioids,3.0,Count
161,2017,Cannon,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,1.0,Count
162,2017,Cannon,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,1.0,Count
163,2017,Cannon,County,All Drug Overdose Deaths,3.0,Count
164,2017,Cannon,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),1.0,Count
176,2017,Carroll,County,Drug Overdose Deaths Involving All Stimulants,0.0,Count
177,2017,Carroll,County,Drug Overdose Deaths Involving Benzodiazepines,1.0,Count
178,2017,Carroll,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
179,2017,Carroll,County,Drug Overdose Deaths Involving Fentanyl,1.0,Count
180,2017,Carroll,County,Drug Overdose Deaths Involving Heroin,1.0,Count
181,2017,Carroll,County,Drug Overdose Deaths Involving Prescription Opioids,1.0,Count
182,2017,Carroll,County,Drug Overdose Deaths Involving All Opioids,2.0,Count
183,2017,Carroll,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,0.0,Count
184,2017,Carroll,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,1.0,Count
185,2017,Carroll,County,All Drug Overdose Deaths,4.0,Count
186,2017,Carroll,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),0.0,Count
198,2017,Carter,County,Drug Overdose Deaths Involving All Stimulants,1.0,Count
199,2017,Carter,County,Drug Overdose Deaths Involving Benzodiazepines,10.0,Count
200,2017,Carter,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
201,2017,Carter,County,Drug Overdose Deaths Involving Fentanyl,0.0,Count
202,2017,Carter,County,Drug Overdose Deaths Involving Heroin,2.0,Count
203,2017,Carter,County,Drug Overdose Deaths Involving Prescription Opioids,12.0,Count
204,2017,Carter,County,Drug Overdose Deaths Involving All Opioids,16.0,Count
205,2017,Carter,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,0.0,Count
206,2017,Carter,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,9.0,Count
207,2017,Carter,County,All Drug Overdose Deaths,21.0,Count
208,2017,Carter,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),1.0,Count
242,2017,Cheatham,County,Drug Overdose Deaths Involving All Stimulants,6.0,Count
243,2017,Cheatham,County,Drug Overdose Deaths Involving Benzodiazepines,10.0,Count
244,2017,Cheatham,County,Drug Overdose Deaths Involving Cocaine,4.0,Count
245,2017,Cheatham,County,Drug Overdose Deaths Involving Fentanyl,6.0,Count
246,2017,Cheatham,County,Drug Overdose Deaths Involving Heroin,5.0,Count
247,2017,Cheatham,County,Drug Overdose Deaths Involving Prescription Opioids,15.0,Count
248,2017,Cheatham,County,Drug Overdose Deaths Involving All Opioids,24.0,Count
249,2017,Cheatham,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,5.0,Count
250,2017,Cheatham,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,10.0,Count
251,2017,Cheatham,County,All Drug Overdose Deaths,25.0,Count
252,2017,Cheatham,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),2.0,Count
264,2017,Chester,County,Drug Overdose Deaths Involving All Stimulants,2.0,Count
265,2017,Chester,County,Drug Overdose Deaths Involving Benzodiazepines,1.0,Count
266,2017,Chester,County,Drug Overdose Deaths Involving Cocaine,1.0,Count
267,2017,Chester,County,Drug Overdose Deaths Involving Fentanyl,0.0,Count
268,2017,Chester,County,Drug Overdose Deaths Involving Heroin,0.0,Count
269,2017,Chester,County,Drug Overdose Deaths Involving Prescription Opioids,1.0,Count
270,2017,Chester,County,Drug Overdose Deaths Involving All Opioids,1.0,Count
271,2017,Chester,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,0.0,Count
272,2017,Chester,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,1.0,Count
273,2017,Chester,County,All Drug Overdose Deaths,3.0,Count
274,2017,Chester,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),1.0,Count
286,2017,Claiborne,County,Drug Overdose Deaths Involving All Stimulants,3.0,Count
287,2017,Claiborne,County,Drug Overdose Deaths Involving Benzodiazepines,2.0,Count
288,2017,Claiborne,County,Drug Overdose Deaths Involving Cocaine,1.0,Count
289,2017,Claiborne,County,Drug Overdose Deaths Involving Fentanyl,1.0,Count
290,2017,Claiborne,County,Drug Overdose Deaths Involving Heroin,0.0,Count
291,2017,Claiborne,County,Drug Overdose Deaths Involving Prescription Opioids,2.0,Count
292,2017,Claiborne,County,Drug Overdose Deaths Involving All Opioids,2.0,Count
293,2017,Claiborne,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,1.0,Count
294,2017,Claiborne,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,1.0,Count
295,2017,Claiborne,County,All Drug Overdose Deaths,6.0,Count
296,2017,Claiborne,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),2.0,Count
308,2017,Clay,County,Drug Overdose Deaths Involving All Stimulants,1.0,Count
309,2017,Clay,County,Drug Overdose Deaths Involving Benzodiazepines,2.0,Count
310,2017,Clay,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
311,2017,Clay,County,Drug Overdose Deaths Involving Fentanyl,0.0,Count
312,2017,Clay,County,Drug Overdose Deaths Involving Heroin,0.0,Count
313,2017,Clay,County,Drug Overdose Deaths Involving Prescription Opioids,1.0,Count
314,2017,Clay,County,Drug Overdose Deaths Involving All Opioids,2.0,Count
315,2017,Clay,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,0.0,Count
316,2017,Clay,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,1.0,Count
317,2017,Clay,County,All Drug Overdose Deaths,3.0,Count
318,2017,Clay,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),1.0,Count
330,2017,Cocke,County,Drug Overdose Deaths Involving All Stimulants,6.0,Count
331,2017,Cocke,County,Drug Overdose Deaths Involving Benzodiazepines,2.0,Count
332,2017,Cocke,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
333,2017,Cocke,County,Drug Overdose Deaths Involving Fentanyl,0.0,Count
334,2017,Cocke,County,Drug Overdose Deaths Involving Heroin,0.0,Count
335,2017,Cocke,County,Drug Overdose Deaths Involving Prescription Opioids,4.0,Count
336,2017,Cocke,County,Drug Overdose Deaths Involving All Opioids,6.0,Count
337,2017,Cocke,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,1.0,Count
338,2017,Cocke,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,1.0,Count
339,2017,Cocke,County,All Drug Overdose Deaths,15.0,Count
340,2017,Cocke,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),6.0,Count
352,2017,Coffee,County,Drug Overdose Deaths Involving All Stimulants,4.0,Count
353,2017,Coffee,County,Drug Overdose Deaths Involving Benzodiazepines,6.0,Count
354,2017,Coffee,County,Drug Overdose Deaths Involving Cocaine,2.0,Count
355,2017,Coffee,County,Drug Overdose Deaths Involving Fentanyl,4.0,Count
356,2017,Coffee,County,Drug Overdose Deaths Involving Heroin,0.0,Count
357,2017,Coffee,County,Drug Overdose Deaths Involving Prescription Opioids,8.0,Count
358,2017,Coffee,County,Drug Overdose Deaths Involving All Opioids,12.0,Count
359,2017,Coffee,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,4.0,Count
360,2017,Coffee,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,3.0,Count
361,2017,Coffee,County,All Drug Overdose Deaths,16.0,Count
362,2017,Coffee,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),2.0,Count
374,2017,Crockett,County,Drug Overdose Deaths Involving All Stimulants,1.0,Count
375,2017,Crockett,County,Drug Overdose Deaths Involving Benzodiazepines,0.0,Count
376,2017,Crockett,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
377,2017,Crockett,County,Drug Overdose Deaths Involving Fentanyl,0.0,Count
378,2017,Crockett,County,Drug Overdose Deaths Involving Heroin,0.0,Count
379,2017,Crockett,County,Drug Overdose Deaths Involving Prescription Opioids,0.0,Count
380,2017,Crockett,County,Drug Overdose Deaths Involving All Opioids,0.0,Count
381,2017,Crockett,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,0.0,Count
382,2017,Crockett,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,0.0,Count
383,2017,Crockett,County,All Drug Overdose Deaths,1.0,Count
384,2017,Crockett,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),1.0,Count
396,2017,Cumberland,County,Drug Overdose Deaths Involving All Stimulants,8.0,Count
397,2017,Cumberland,County,Drug Overdose Deaths Involving Benzodiazepines,3.0,Count
398,2017,Cumberland,County,Drug Overdose Deaths Involving Cocaine,2.0,Count
399,2017,Cumberland,County,Drug Overdose Deaths Involving Fentanyl,1.0,Count
400,2017,Cumberland,County,Drug Overdose Deaths Involving Heroin,0.0,Count
401,2017,Cumberland,County,Drug Overdose Deaths Involving Prescription Opioids,7.0,Count
402,2017,Cumberland,County,Drug Overdose Deaths Involving All Opioids,9.0,Count
403,2017,Cumberland,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,4.0,Count
404,2017,Cumberland,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,3.0,Count
405,2017,Cumberland,County,All Drug Overdose Deaths,14.0,Count
406,2017,Cumberland,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),6.0,Count
418,2017,Davidson,County,Drug Overdose Deaths Involving All Stimulants,94.0,Count
419,2017,Davidson,County,Drug Overdose Deaths Involving Benzodiazepines,83.0,Count
420,2017,Davidson,County,Drug Overdose Deaths Involving Cocaine,80.0,Count
421,2017,Davidson,County,Drug Overdose Deaths Involving Fentanyl,75.0,Count
422,2017,Davidson,County,Drug Overdose Deaths Involving Heroin,77.0,Count
423,2017,Davidson,County,Drug Overdose Deaths Involving Prescription Opioids,78.0,Count
424,2017,Davidson,County,Drug Overdose Deaths Involving All Opioids,184.0,Count
425,2017,Davidson,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,60.0,Count
426,2017,Davidson,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,73.0,Count
427,2017,Davidson,County,All Drug Overdose Deaths,236.0,Count
428,2017,Davidson,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),14.0,Count
440,2017,Decatur,County,Drug Overdose Deaths Involving All Stimulants,1.0,Count
441,2017,Decatur,County,Drug Overdose Deaths Involving Benzodiazepines,0.0,Count
442,2017,Decatur,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
443,2017,Decatur,County,Drug Overdose Deaths Involving Fentanyl,0.0,Count
444,2017,Decatur,County,Drug Overdose Deaths Involving Heroin,0.0,Count
445,2017,Decatur,County,Drug Overdose Deaths Involving Prescription Opioids,0.0,Count
446,2017,Decatur,County,Drug Overdose Deaths Involving All Opioids,0.0,Count
447,2017,Decatur,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,0.0,Count
448,2017,Decatur,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,0.0,Count
449,2017,Decatur,County,All Drug Overdose Deaths,1.0,Count
450,2017,Decatur,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),1.0,Count
462,2017,DeKalb,County,Drug Overdose Deaths Involving All Stimulants,1.0,Count
463,2017,DeKalb,County,Drug Overdose Deaths Involving Benzodiazepines,3.0,Count
464,2017,DeKalb,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
465,2017,DeKalb,County,Drug Overdose Deaths Involving Fentanyl,2.0,Count
466,2017,DeKalb,County,Drug Overdose Deaths Involving Heroin,1.0,Count
467,2017,DeKalb,County,Drug Overdose Deaths Involving Prescription Opioids,5.0,Count
468,2017,DeKalb,County,Drug Overdose Deaths Involving All Opioids,7.0,Count
469,2017,DeKalb,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,1.0,Count
470,2017,DeKalb,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,3.0,Count
471,2017,DeKalb,County,All Drug Overdose Deaths,8.0,Count
472,2017,DeKalb,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),1.0,Count
484,2017,Dickson,County,Drug Overdose Deaths Involving All Stimulants,4.0,Count
485,2017,Dickson,County,Drug Overdose Deaths Involving Benzodiazepines,3.0,Count
486,2017,Dickson,County,Drug Overdose Deaths Involving Cocaine,4.0,Count
487,2017,Dickson,County,Drug Overdose Deaths Involving Fentanyl,2.0,Count
488,2017,Dickson,County,Drug Overdose Deaths Involving Heroin,3.0,Count
489,2017,Dickson,County,Drug Overdose Deaths Involving Prescription Opioids,4.0,Count
490,2017,Dickson,County,Drug Overdose Deaths Involving All Opioids,6.0,Count
491,2017,Dickson,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,2.0,Count
492,2017,Dickson,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,3.0,Count
493,2017,Dickson,County,All Drug Overdose Deaths,9.0,Count
494,2017,Dickson,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),1.0,Count
506,2017,Dyer,County,Drug Overdose Deaths Involving All Stimulants,1.0,Count
507,2017,Dyer,County,Drug Overdose Deaths Involving Benzodiazepines,0.0,Count
508,2017,Dyer,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
509,2017,Dyer,County,Drug Overdose Deaths Involving Fentanyl,0.0,Count
510,2017,Dyer,County,Drug Overdose Deaths Involving Heroin,0.0,Count
511,2017,Dyer,County,Drug Overdose Deaths Involving Prescription Opioids,0.0,Count
512,2017,Dyer,County,Drug Overdose Deaths Involving All Opioids,1.0,Count
513,2017,Dyer,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,0.0,Count
514,2017,Dyer,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,0.0,Count
515,2017,Dyer,County,All Drug Overdose Deaths,4.0,Count
516,2017,Dyer,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),1.0,Count
550,2017,Fayette,County,Drug Overdose Deaths Involving All Stimulants,3.0,Count
551,2017,Fayette,County,Drug Overdose Deaths Involving Benzodiazepines,4.0,Count
552,2017,Fayette,County,Drug Overdose Deaths Involving Cocaine,1.0,Count
553,2017,Fayette,County,Drug Overdose Deaths Involving Fentanyl,1.0,Count
554,2017,Fayette,County,Drug Overdose Deaths Involving Heroin,0.0,Count
555,2017,Fayette,County,Drug Overdose Deaths Involving Prescription Opioids,2.0,Count
556,2017,Fayette,County,Drug Overdose Deaths Involving All Opioids,3.0,Count
557,2017,Fayette,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,0.0,Count
558,2017,Fayette,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,3.0,Count
559,2017,Fayette,County,All Drug Overdose Deaths,6.0,Count
560,2017,Fayette,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),2.0,Count
572,2017,Fentress,County,Drug Overdose Deaths Involving All Stimulants,1.0,Count
573,2017,Fentress,County,Drug Overdose Deaths Involving Benzodiazepines,0.0,Count
574,2017,Fentress,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
575,2017,Fentress,County,Drug Overdose Deaths Involving Fentanyl,0.0,Count
576,2017,Fentress,County,Drug Overdose Deaths Involving Heroin,0.0,Count
577,2017,Fentress,County,Drug Overdose Deaths Involving Prescription Opioids,1.0,Count
578,2017,Fentress,County,Drug Overdose Deaths Involving All Opioids,1.0,Count
579,2017,Fentress,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,0.0,Count
580,2017,Fentress,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,0.0,Count
581,2017,Fentress,County,All Drug Overdose Deaths,4.0,Count
582,2017,Fentress,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),1.0,Count
594,2017,Franklin,County,Drug Overdose Deaths Involving All Stimulants,0.0,Count
595,2017,Franklin,County,Drug Overdose Deaths Involving Benzodiazepines,1.0,Count
596,2017,Franklin,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
597,2017,Franklin,County,Drug Overdose Deaths Involving Fentanyl,1.0,Count
598,2017,Franklin,County,Drug Overdose Deaths Involving Heroin,1.0,Count
599,2017,Franklin,County,Drug Overdose Deaths Involving Prescription Opioids,1.0,Count
600,2017,Franklin,County,Drug Overdose Deaths Involving All Opioids,3.0,Count
601,2017,Franklin,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,0.0,Count
602,2017,Franklin,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,1.0,Count
603,2017,Franklin,County,All Drug Overdose Deaths,7.0,Count
604,2017,Franklin,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),0.0,Count
616,2017,Gibson,County,Drug Overdose Deaths Involving All Stimulants,5.0,Count
617,2017,Gibson,County,Drug Overdose Deaths Involving Benzodiazepines,3.0,Count
618,2017,Gibson,County,Drug Overdose Deaths Involving Cocaine,3.0,Count
619,2017,Gibson,County,Drug Overdose Deaths Involving Fentanyl,1.0,Count
620,2017,Gibson,County,Drug Overdose Deaths Involving Heroin,4.0,Count
621,2017,Gibson,County,Drug Overdose Deaths Involving Prescription Opioids,2.0,Count
622,2017,Gibson,County,Drug Overdose Deaths Involving All Opioids,6.0,Count
623,2017,Gibson,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,3.0,Count
624,2017,Gibson,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,2.0,Count
625,2017,Gibson,County,All Drug Overdose Deaths,9.0,Count
626,2017,Gibson,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),2.0,Count
638,2017,Giles,County,Drug Overdose Deaths Involving All Stimulants,2.0,Count
639,2017,Giles,County,Drug Overdose Deaths Involving Benzodiazepines,6.0,Count
640,2017,Giles,County,Drug Overdose Deaths Involving Cocaine,1.0,Count
641,2017,Giles,County,Drug Overdose Deaths Involving Fentanyl,1.0,Count
642,2017,Giles,County,Drug Overdose Deaths Involving Heroin,0.0,Count
643,2017,Giles,County,Drug Overdose Deaths Involving Prescription Opioids,4.0,Count
644,2017,Giles,County,Drug Overdose Deaths Involving All Opioids,5.0,Count
645,2017,Giles,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,1.0,Count
646,2017,Giles,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,4.0,Count
647,2017,Giles,County,All Drug Overdose Deaths,9.0,Count
648,2017,Giles,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),2.0,Count
660,2017,Grainger,County,Drug Overdose Deaths Involving All Stimulants,0.0,Count
661,2017,Grainger,County,Drug Overdose Deaths Involving Benzodiazepines,0.0,Count
662,2017,Grainger,County,Drug Overdose Deaths Involving Cocaine,0.0,Count
663,2017,Grainger,County,Drug Overdose Deaths Involving Fentanyl,1.0,Count
664,2017,Grainger,County,Drug Overdose Deaths Involving Heroin,0.0,Count
665,2017,Grainger,County,Drug Overdose Deaths Involving Prescription Opioids,0.0,Count
666,2017,Grainger,County,Drug Overdose Deaths Involving All Opioids,1.0,Count
667,2017,Grainger,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,0.0,Count
668,2017,Grainger,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,0.0,Count
669,2017,Grainger,County,All Drug Overdose Deaths,2.0,Count
670,2017,Grainger,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),0.0,Count
682,2017,Greene,County,Drug Overdose Deaths Involving All Stimulants,4.0,Count
683,2017,Greene,County,Drug Overdose Deaths Involving Benzodiazepines,9.0,Count
684,2017,Greene,County,Drug Overdose Deaths Involving Cocaine,2.0,Count
685,2017,Greene,County,Drug Overdose Deaths Involving Fentanyl,5.0,Count
686,2017,Greene,County,Drug Overdose Deaths Involving Heroin,0.0,Count
687,2017,Greene,County,Drug Overdose Deaths Involving Prescription Opioids,11.0,Count
688,2017,Greene,County,Drug Overdose Deaths Involving All Opioids,17.0,Count
689,2017,Greene,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,4.0,Count
690,2017,Greene,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,8.0,Count
691,2017,Greene,County,All Drug Overdose Deaths,21.0,Count
692,2017,Greene,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),3.0,Count
