,Year,Geography,GeographyType,Indicator,Value,ValueType,Demographics,DemographicsType
120,2017,Bradley,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),6.0,Count,,
121,2017,Bradley,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),9.0,Count,,
122,2017,Bradley,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
123,2017,Bradley,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
124,2017,Bradley,County,Inpatient Stays Involving Heroin Overdose,9.0,Count,,
125,2017,Bradley,County,Outpatient Visits Involving Heroin Overdose,14.0,Count,,
126,2017,Bradley,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,38.0,Count,,
127,2017,Bradley,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,42.0,Count,,
128,2017,Bradley,County,Inpatient Stays Involving All Drug Overdose,149.0,Count,,
129,2017,Bradley,County,Outpatient Visits Involving All Drug Overdose,250.0,Count,,
130,2017,Bradley,County,Inpatient Stays Involving All Stimulant Overdose,7.0,Count,,
131,2017,Bradley,County,Outpatient Visits Involving All Stimulant Overdose,10.0,Count,,
144,2017,Campbell,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),5.0,Count,,
145,2017,Campbell,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),6.0,Count,,
146,2017,Campbell,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
147,2017,Campbell,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
148,2017,Campbell,County,Inpatient Stays Involving Heroin Overdose,2.0,Count,,
149,2017,Campbell,County,Outpatient Visits Involving Heroin Overdose,2.0,Count,,
150,2017,Campbell,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,20.0,Count,,
151,2017,Campbell,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,12.0,Count,,
152,2017,Campbell,County,Inpatient Stays Involving All Drug Overdose,60.0,Count,,
153,2017,Campbell,County,Outpatient Visits Involving All Drug Overdose,81.0,Count,,
154,2017,Campbell,County,Inpatient Stays Involving All Stimulant Overdose,5.0,Count,,
155,2017,Campbell,County,Outpatient Visits Involving All Stimulant Overdose,7.0,Count,,
168,2017,Cannon,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
169,2017,Cannon,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
170,2017,Cannon,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
171,2017,Cannon,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
172,2017,Cannon,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
173,2017,Cannon,County,Outpatient Visits Involving Heroin Overdose,4.0,Count,,
174,2017,Cannon,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,8.0,Count,,
175,2017,Cannon,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,14.0,Count,,
176,2017,Cannon,County,Inpatient Stays Involving All Drug Overdose,21.0,Count,,
177,2017,Cannon,County,Outpatient Visits Involving All Drug Overdose,54.0,Count,,
178,2017,Cannon,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
179,2017,Cannon,County,Outpatient Visits Involving All Stimulant Overdose,2.0,Count,,
192,2017,Carroll,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
193,2017,Carroll,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
194,2017,Carroll,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
195,2017,Carroll,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
196,2017,Carroll,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
197,2017,Carroll,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
198,2017,Carroll,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,10.0,Count,,
199,2017,Carroll,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,7.0,Count,,
200,2017,Carroll,County,Inpatient Stays Involving All Drug Overdose,33.0,Count,,
201,2017,Carroll,County,Outpatient Visits Involving All Drug Overdose,77.0,Count,,
202,2017,Carroll,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
203,2017,Carroll,County,Outpatient Visits Involving All Stimulant Overdose,6.0,Count,,
216,2017,Carter,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),13.0,Count,,
217,2017,Carter,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),10.0,Count,,
218,2017,Carter,County,Inpatient Stays Involving Cocaine Overdose,4.0,Count,,
219,2017,Carter,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
220,2017,Carter,County,Inpatient Stays Involving Heroin Overdose,2.0,Count,,
221,2017,Carter,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
222,2017,Carter,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,21.0,Count,,
223,2017,Carter,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,17.0,Count,,
224,2017,Carter,County,Inpatient Stays Involving All Drug Overdose,101.0,Count,,
225,2017,Carter,County,Outpatient Visits Involving All Drug Overdose,140.0,Count,,
226,2017,Carter,County,Inpatient Stays Involving All Stimulant Overdose,15.0,Count,,
227,2017,Carter,County,Outpatient Visits Involving All Stimulant Overdose,10.0,Count,,
264,2017,Cheatham,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),5.0,Count,,
265,2017,Cheatham,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
266,2017,Cheatham,County,Inpatient Stays Involving Cocaine Overdose,7.0,Count,,
267,2017,Cheatham,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
268,2017,Cheatham,County,Inpatient Stays Involving Heroin Overdose,6.0,Count,,
269,2017,Cheatham,County,Outpatient Visits Involving Heroin Overdose,31.0,Count,,
270,2017,Cheatham,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,26.0,Count,,
271,2017,Cheatham,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,30.0,Count,,
272,2017,Cheatham,County,Inpatient Stays Involving All Drug Overdose,71.0,Count,,
273,2017,Cheatham,County,Outpatient Visits Involving All Drug Overdose,126.0,Count,,
274,2017,Cheatham,County,Inpatient Stays Involving All Stimulant Overdose,9.0,Count,,
275,2017,Cheatham,County,Outpatient Visits Involving All Stimulant Overdose,2.0,Count,,
288,2017,Chester,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
289,2017,Chester,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
290,2017,Chester,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
291,2017,Chester,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
292,2017,Chester,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
293,2017,Chester,County,Outpatient Visits Involving Heroin Overdose,2.0,Count,,
294,2017,Chester,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,2.0,Count,,
295,2017,Chester,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,4.0,Count,,
296,2017,Chester,County,Inpatient Stays Involving All Drug Overdose,15.0,Count,,
297,2017,Chester,County,Outpatient Visits Involving All Drug Overdose,41.0,Count,,
298,2017,Chester,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
299,2017,Chester,County,Outpatient Visits Involving All Stimulant Overdose,3.0,Count,,
312,2017,Claiborne,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),5.0,Count,,
313,2017,Claiborne,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
314,2017,Claiborne,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
315,2017,Claiborne,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
316,2017,Claiborne,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
317,2017,Claiborne,County,Outpatient Visits Involving Heroin Overdose,1.0,Count,,
318,2017,Claiborne,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,14.0,Count,,
319,2017,Claiborne,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,12.0,Count,,
320,2017,Claiborne,County,Inpatient Stays Involving All Drug Overdose,38.0,Count,,
321,2017,Claiborne,County,Outpatient Visits Involving All Drug Overdose,68.0,Count,,
322,2017,Claiborne,County,Inpatient Stays Involving All Stimulant Overdose,5.0,Count,,
323,2017,Claiborne,County,Outpatient Visits Involving All Stimulant Overdose,3.0,Count,,
336,2017,Clay,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
337,2017,Clay,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
338,2017,Clay,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
339,2017,Clay,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
340,2017,Clay,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
341,2017,Clay,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
342,2017,Clay,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,4.0,Count,,
343,2017,Clay,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,3.0,Count,,
344,2017,Clay,County,Inpatient Stays Involving All Drug Overdose,10.0,Count,,
345,2017,Clay,County,Outpatient Visits Involving All Drug Overdose,19.0,Count,,
346,2017,Clay,County,Inpatient Stays Involving All Stimulant Overdose,0.0,Count,,
347,2017,Clay,County,Outpatient Visits Involving All Stimulant Overdose,0.0,Count,,
360,2017,Cocke,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
361,2017,Cocke,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),9.0,Count,,
362,2017,Cocke,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
363,2017,Cocke,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
364,2017,Cocke,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
365,2017,Cocke,County,Outpatient Visits Involving Heroin Overdose,11.0,Count,,
366,2017,Cocke,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,19.0,Count,,
367,2017,Cocke,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,17.0,Count,,
368,2017,Cocke,County,Inpatient Stays Involving All Drug Overdose,53.0,Count,,
369,2017,Cocke,County,Outpatient Visits Involving All Drug Overdose,94.0,Count,,
370,2017,Cocke,County,Inpatient Stays Involving All Stimulant Overdose,3.0,Count,,
371,2017,Cocke,County,Outpatient Visits Involving All Stimulant Overdose,10.0,Count,,
384,2017,Coffee,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),8.0,Count,,
385,2017,Coffee,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),11.0,Count,,
386,2017,Coffee,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
387,2017,Coffee,County,Outpatient Visits Involving Cocaine Overdose,4.0,Count,,
388,2017,Coffee,County,Inpatient Stays Involving Heroin Overdose,3.0,Count,,
389,2017,Coffee,County,Outpatient Visits Involving Heroin Overdose,10.0,Count,,
390,2017,Coffee,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,25.0,Count,,
391,2017,Coffee,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,21.0,Count,,
392,2017,Coffee,County,Inpatient Stays Involving All Drug Overdose,105.0,Count,,
393,2017,Coffee,County,Outpatient Visits Involving All Drug Overdose,160.0,Count,,
394,2017,Coffee,County,Inpatient Stays Involving All Stimulant Overdose,10.0,Count,,
395,2017,Coffee,County,Outpatient Visits Involving All Stimulant Overdose,14.0,Count,,
408,2017,Crockett,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),1.0,Count,,
409,2017,Crockett,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
410,2017,Crockett,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
411,2017,Crockett,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
412,2017,Crockett,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
413,2017,Crockett,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
414,2017,Crockett,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,5.0,Count,,
415,2017,Crockett,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,7.0,Count,,
416,2017,Crockett,County,Inpatient Stays Involving All Drug Overdose,16.0,Count,,
417,2017,Crockett,County,Outpatient Visits Involving All Drug Overdose,28.0,Count,,
418,2017,Crockett,County,Inpatient Stays Involving All Stimulant Overdose,1.0,Count,,
419,2017,Crockett,County,Outpatient Visits Involving All Stimulant Overdose,2.0,Count,,
432,2017,Cumberland,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),6.0,Count,,
433,2017,Cumberland,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),4.0,Count,,
434,2017,Cumberland,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
435,2017,Cumberland,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
436,2017,Cumberland,County,Inpatient Stays Involving Heroin Overdose,4.0,Count,,
437,2017,Cumberland,County,Outpatient Visits Involving Heroin Overdose,3.0,Count,,
438,2017,Cumberland,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,20.0,Count,,
439,2017,Cumberland,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,21.0,Count,,
440,2017,Cumberland,County,Inpatient Stays Involving All Drug Overdose,64.0,Count,,
441,2017,Cumberland,County,Outpatient Visits Involving All Drug Overdose,126.0,Count,,
442,2017,Cumberland,County,Inpatient Stays Involving All Stimulant Overdose,6.0,Count,,
443,2017,Cumberland,County,Outpatient Visits Involving All Stimulant Overdose,4.0,Count,,
456,2017,Davidson,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),24.0,Count,,
457,2017,Davidson,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),39.0,Count,,
458,2017,Davidson,County,Inpatient Stays Involving Cocaine Overdose,91.0,Count,,
459,2017,Davidson,County,Outpatient Visits Involving Cocaine Overdose,69.0,Count,,
460,2017,Davidson,County,Inpatient Stays Involving Heroin Overdose,85.0,Count,,
461,2017,Davidson,County,Outpatient Visits Involving Heroin Overdose,452.0,Count,,
462,2017,Davidson,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,200.0,Count,,
463,2017,Davidson,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,257.0,Count,,
464,2017,Davidson,County,Inpatient Stays Involving All Drug Overdose,909.0,Count,,
465,2017,Davidson,County,Outpatient Visits Involving All Drug Overdose,1653.0,Count,,
466,2017,Davidson,County,Inpatient Stays Involving All Stimulant Overdose,113.0,Count,,
467,2017,Davidson,County,Outpatient Visits Involving All Stimulant Overdose,108.0,Count,,
480,2017,Decatur,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
481,2017,Decatur,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
482,2017,Decatur,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
483,2017,Decatur,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
484,2017,Decatur,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
485,2017,Decatur,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
486,2017,Decatur,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,7.0,Count,,
487,2017,Decatur,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,5.0,Count,,
488,2017,Decatur,County,Inpatient Stays Involving All Drug Overdose,10.0,Count,,
489,2017,Decatur,County,Outpatient Visits Involving All Drug Overdose,28.0,Count,,
490,2017,Decatur,County,Inpatient Stays Involving All Stimulant Overdose,0.0,Count,,
491,2017,Decatur,County,Outpatient Visits Involving All Stimulant Overdose,2.0,Count,,
504,2017,DeKalb,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),4.0,Count,,
505,2017,DeKalb,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),5.0,Count,,
506,2017,DeKalb,County,Inpatient Stays Involving Cocaine Overdose,0.0,Count,,
507,2017,DeKalb,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
508,2017,DeKalb,County,Inpatient Stays Involving Heroin Overdose,2.0,Count,,
509,2017,DeKalb,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
510,2017,DeKalb,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,13.0,Count,,
511,2017,DeKalb,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,18.0,Count,,
512,2017,DeKalb,County,Inpatient Stays Involving All Drug Overdose,28.0,Count,,
513,2017,DeKalb,County,Outpatient Visits Involving All Drug Overdose,59.0,Count,,
514,2017,DeKalb,County,Inpatient Stays Involving All Stimulant Overdose,4.0,Count,,
515,2017,DeKalb,County,Outpatient Visits Involving All Stimulant Overdose,5.0,Count,,
528,2017,Dickson,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),13.0,Count,,
529,2017,Dickson,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
530,2017,Dickson,County,Inpatient Stays Involving Cocaine Overdose,3.0,Count,,
531,2017,Dickson,County,Outpatient Visits Involving Cocaine Overdose,3.0,Count,,
532,2017,Dickson,County,Inpatient Stays Involving Heroin Overdose,9.0,Count,,
533,2017,Dickson,County,Outpatient Visits Involving Heroin Overdose,31.0,Count,,
534,2017,Dickson,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,31.0,Count,,
535,2017,Dickson,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,19.0,Count,,
536,2017,Dickson,County,Inpatient Stays Involving All Drug Overdose,88.0,Count,,
537,2017,Dickson,County,Outpatient Visits Involving All Drug Overdose,166.0,Count,,
538,2017,Dickson,County,Inpatient Stays Involving All Stimulant Overdose,15.0,Count,,
539,2017,Dickson,County,Outpatient Visits Involving All Stimulant Overdose,7.0,Count,,
552,2017,Dyer,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
553,2017,Dyer,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),15.0,Count,,
554,2017,Dyer,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
555,2017,Dyer,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
556,2017,Dyer,County,Inpatient Stays Involving Heroin Overdose,0.0,Count,,
557,2017,Dyer,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
558,2017,Dyer,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,11.0,Count,,
559,2017,Dyer,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,10.0,Count,,
560,2017,Dyer,County,Inpatient Stays Involving All Drug Overdose,44.0,Count,,
561,2017,Dyer,County,Outpatient Visits Involving All Drug Overdose,110.0,Count,,
562,2017,Dyer,County,Inpatient Stays Involving All Stimulant Overdose,3.0,Count,,
563,2017,Dyer,County,Outpatient Visits Involving All Stimulant Overdose,16.0,Count,,
600,2017,Fayette,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
601,2017,Fayette,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),0.0,Count,,
602,2017,Fayette,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
603,2017,Fayette,County,Outpatient Visits Involving Cocaine Overdose,1.0,Count,,
604,2017,Fayette,County,Inpatient Stays Involving Heroin Overdose,2.0,Count,,
605,2017,Fayette,County,Outpatient Visits Involving Heroin Overdose,21.0,Count,,
606,2017,Fayette,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,11.0,Count,,
607,2017,Fayette,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,3.0,Count,,
608,2017,Fayette,County,Inpatient Stays Involving All Drug Overdose,39.0,Count,,
609,2017,Fayette,County,Outpatient Visits Involving All Drug Overdose,76.0,Count,,
610,2017,Fayette,County,Inpatient Stays Involving All Stimulant Overdose,4.0,Count,,
611,2017,Fayette,County,Outpatient Visits Involving All Stimulant Overdose,1.0,Count,,
624,2017,Fentress,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),3.0,Count,,
625,2017,Fentress,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
626,2017,Fentress,County,Inpatient Stays Involving Cocaine Overdose,1.0,Count,,
627,2017,Fentress,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
628,2017,Fentress,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
629,2017,Fentress,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
630,2017,Fentress,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,7.0,Count,,
631,2017,Fentress,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,20.0,Count,,
632,2017,Fentress,County,Inpatient Stays Involving All Drug Overdose,23.0,Count,,
633,2017,Fentress,County,Outpatient Visits Involving All Drug Overdose,49.0,Count,,
634,2017,Fentress,County,Inpatient Stays Involving All Stimulant Overdose,4.0,Count,,
635,2017,Fentress,County,Outpatient Visits Involving All Stimulant Overdose,3.0,Count,,
648,2017,Franklin,County,Inpatient Stays Involving Amphetamine Overdose (Including Methamphetamine),5.0,Count,,
649,2017,Franklin,County,Outpatient Visits Involving Amphetamine Overdose (Including Methamphetamine),2.0,Count,,
650,2017,Franklin,County,Inpatient Stays Involving Cocaine Overdose,2.0,Count,,
651,2017,Franklin,County,Outpatient Visits Involving Cocaine Overdose,0.0,Count,,
652,2017,Franklin,County,Inpatient Stays Involving Heroin Overdose,1.0,Count,,
653,2017,Franklin,County,Outpatient Visits Involving Heroin Overdose,0.0,Count,,
654,2017,Franklin,County,Inpatient Stays Involving All Opioid Overdose Excluding Heroin,19.0,Count,,
655,2017,Franklin,County,Outpatient Visits Involving All Opioid Overdose Excluding Heroin,26.0,Count,,
